state,FocalSearch result,FocalSearch expansion,ProbabilityFocalSearch 60/40 result,ProbabilityFocalSearch 60/40 expansion,ProbabilityFocalSearch 70/30 result,ProbabilityFocalSearch 70/30 expansion,ProbabilityFocalSearch dist_to_go 60/40 result,ProbabilityFocalSearch dist_to_go 60/40 expansion,ProbabilityFocalSearch dist_to_go 70/30 result,ProbabilityFocalSearch dist_to_go 70/30 expansion,ProbabilityFocalSearch potential func 60/40 result,ProbabilityFocalSearch potential func 60/40 expansion,ProbabilityFocalSearch potential func 70/30 result,ProbabilityFocalSearch potential func 70/30 expansion,
10 ,653,5713,653,1396,653,1686,653,1407,653,1757,653,1380,653,1798,
10 ,533,10441,532,3968,532,4432,532,3785,532,4219,532,3996,532,4516,
10 ,665,13925,665,4532,665,5107,665,4382,665,5410,665,4908,665,5788,
10 ,469,2401,459,390,459,658,459,639,459,586,459,447,459,710,
10 ,620,2058,620,506,620,508,620,573,620,440,620,486,620,543,
10 ,611,2316,611,716,611,801,611,743,611,792,611,837,611,884,
10 ,554,1882,553,465,553,558,553,466,553,541,553,511,553,510,
10 ,580,1321,580,470,580,440,593,633,580,480,580,401,580,501,
10 ,628,13508,628,4297,628,4762,628,4146,628,4738,628,4608,628,5043,
10 ,577,494,573,322,577,321,573,256,577,349,573,241,573,235,
10 ,550,23602,550,9108,550,10606,550,8879,550,9850,550,8960,550,10286,
10 ,573,3456,573,1098,573,1198,573,1164,573,1401,573,1378,573,1485,
10 ,461,370,461,352,461,316,461,367,461,396,461,297,465,379,
10 ,647,3317,647,1446,647,1637,647,1348,647,1763,647,1419,647,1558,
10 ,542,885,542,433,542,337,542,332,542,467,542,517,542,320,
10 ,646,3488,646,1286,646,1344,646,1101,646,1278,646,1302,646,1510,
10 ,565,759,565,297,565,381,565,306,565,320,565,349,565,399,
10 ,552,657,540,325,540,373,540,290,540,405,540,396,540,283,
10 ,543,1709,540,356,540,384,540,383,540,367,541,354,541,428,
10 ,546,10201,546,3235,546,3486,546,3067,546,3679,546,3237,546,3688,
10 ,622,1773,595,354,595,322,591,329,595,323,595,317,595,300,
10 ,540,1481,540,478,540,559,540,456,540,413,540,399,540,595,
10 ,580,795,580,603,580,590,580,507,580,511,580,570,610,598,
10 ,560,4721,560,1177,560,1438,560,1276,560,1455,560,1236,560,1396,
10 ,583,23580,583,9817,583,11066,583,9523,583,10414,583,9692,583,12199,
10 ,660,11653,660,3388,660,4052,660,3447,660,4100,660,3766,660,4170,
10 ,613,3700,613,1447,613,1869,613,1643,613,1749,613,1615,613,1637,
10 ,534,5064,534,1100,534,1331,534,1126,534,1342,534,1081,534,1375,
10 ,639,3918,633,930,633,848,633,874,633,1112,633,1042,633,949,
10 ,421,1899,421,882,421,892,421,843,421,815,421,717,422,1292,
10 ,575,110,575,154,575,146,575,154,575,162,575,146,575,137,
10 ,519,7674,519,2920,519,3301,519,2793,519,3203,519,2849,519,3495,
10 ,533,870,518,596,518,579,518,563,518,608,518,564,518,865,
10 ,519,4180,509,1113,509,1187,509,1052,509,1363,509,1223,509,1286,
10 ,693,6903,693,1961,693,2041,693,1849,693,1945,693,1758,693,2165,
10 ,643,14842,643,7102,643,8274,643,6546,643,7574,643,7003,643,8076,
10 ,538,1968,539,612,539,701,539,682,538,836,539,644,539,785,
10 ,448,2750,448,2148,448,2339,448,2215,448,2411,448,2586,448,2700,
10 ,591,1892,591,390,591,379,591,431,591,391,591,527,591,614,
10 ,528,3887,515,3022,515,3110,515,2993,515,3267,515,3164,515,3283,
10 ,628,3509,628,2136,628,2564,628,2013,628,2407,628,2381,628,2561,
10 ,492,4648,492,2216,492,2648,492,2086,492,2363,492,2228,492,2377,
10 ,539,4088,539,3104,539,3468,539,3397,539,3490,539,3359,539,3707,
10 ,464,2105,464,1328,464,1598,464,1371,464,1566,464,1290,467,1570,
10 ,563,2705,556,1211,556,1273,556,1198,556,1396,556,1243,556,1494,
10 ,605,2439,605,1006,605,1286,605,978,605,1161,605,986,605,1217,
10 ,663,3763,663,1139,663,1230,663,1289,663,1347,663,1283,663,1526,
10 ,588,3484,588,1615,588,1701,588,1528,588,1888,588,1678,588,1867,
10 ,621,1155,621,258,621,315,621,301,621,284,621,336,621,351,
10 ,598,2775,594,578,598,568,598,517,594,664,598,515,594,611,
10 ,575,7815,573,4823,573,5566,573,4598,573,5081,573,5051,573,5612,
10 ,598,3012,598,2007,598,2138,598,2012,598,2191,598,2291,598,2426,
10 ,476,349,476,326,476,289,476,241,476,261,476,281,476,298,
10 ,556,542,556,299,556
